epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,696.349,0.22367,0.24726,0.7889,0.98391,0.98525,0.99015,0.95199,0.30145,0.21634,0.77623,0.000262432,0.000262432,0.000262432
162,699.805,0.21297,0.22993,0.78277,0.98438,0.98447,0.99012,0.95331,0.30351,0.21838,0.77642,0.000260597,0.000260597,0.000260597
163,703.273,0.22382,0.22436,0.78226,0.98218,0.98391,0.98982,0.95107,0.29764,0.21781,0.77573,0.000258762,0.000258762,0.000258762
164,706.92,0.20927,0.22466,0.77902,0.98483,0.98232,0.98983,0.94986,0.30691,0.22022,0.77693,0.000256928,0.000256928,0.000256928
165,710.696,0.21664,0.23905,0.78821,0.98201,0.98223,0.98954,0.95145,0.30292,0.22021,0.77548,0.000255093,0.000255093,0.000255093
166,714.048,0.21497,0.23108,0.77987,0.98611,0.97619,0.98922,0.9466,0.30924,0.22115,0.77642,0.000253258,0.000253258,0.000253258
167,717.772,0.2041,0.234,0.7944,0.97992,0.98053,0.98927,0.94337,0.31217,0.22595,0.77754,0.000251423,0.000251423,0.000251423
168,721.31,0.20682,0.23164,0.78404,0.98319,0.97604,0.98766,0.94621,0.30206,0.2314,0.77596,0.000249588,0.000249588,0.000249588
169,725.17,0.21467,0.23865,0.78521,0.98149,0.97611,0.98662,0.94499,0.30711,0.24212,0.77661,0.000247754,0.000247754,0.000247754
170,728.634,0.20713,0.22661,0.78217,0.97991,0.9754,0.98663,0.94707,0.31158,0.24539,0.77722,0.000245919,0.000245919,0.000245919
171,732.005,0.2066,0.23154,0.77943,0.979,0.97583,0.98702,0.94379,0.31015,0.24012,0.77689,0.000244084,0.000244084,0.000244084
172,735.514,0.21322,0.22608,0.78196,0.97733,0.97809,0.98899,0.94665,0.3057,0.23787,0.77655,0.000242249,0.000242249,0.000242249
173,738.919,0.21719,0.24136,0.78319,0.97802,0.98166,0.98952,0.95047,0.30744,0.23069,0.77745,0.000240414,0.000240414,0.000240414
174,742.496,0.21708,0.23242,0.7797,0.97962,0.98417,0.99022,0.9536,0.29843,0.22066,0.77616,0.00023858,0.00023858,0.00023858
175,746.016,0.21533,0.24271,0.78011,0.97932,0.99114,0.9904,0.95432,0.30308,0.21587,0.7768,0.000236745,0.000236745,0.000236745
176,749.515,0.2191,0.23194,0.78526,0.98107,0.98765,0.99048,0.95071,0.30096,0.21316,0.77694,0.00023491,0.00023491,0.00023491
177,753.167,0.21331,0.22948,0.78084,0.98467,0.98652,0.99051,0.95364,0.29822,0.21142,0.77642,0.000233075,0.000233075,0.000233075
178,756.817,0.20425,0.23155,0.7854,0.98306,0.99043,0.99056,0.95219,0.2943,0.20514,0.77558,0.00023124,0.00023124,0.00023124
179,760.307,0.21044,0.22483,0.78149,0.98657,0.9904,0.99071,0.95377,0.30095,0.20497,0.77694,0.000229406,0.000229406,0.000229406
